"","Taxon","Maximum.vertical.height..meter.","Habit..growth.from.","Extra.floral.nectaries","Leaf.shape","Whole.leaf.length..cm.","Whole.leaf.width..cm.","Rachis.length..mm.","Petiole.length..mm.","Stipules.length..mm.","Stipules.width..mm.","Stipules.phenology","Pairs.of.pinnae","Length.of.pinnae..mm.","Pinnular.rachis.length..cm.","Pair.of.leaflets","Length.of..leaflets..mm.","Width.of..leaflets..mm.","Length.of.basal.primary.leaflets..mm.","Length.of.basal.primary.leaflets..mm..1","Length.of.middle.leaflet..mm.","Width.of.middle.leaflet..mm.","Length.of.largest.leaflet..mm.","Width.of.largest.leaflet..mm.","Length.of.other.primary.leaflets..mm.","Phyllodes","Width.of.other.primary.leaflets..mm.","Phyllode.length..mm.","Phyllode.width..mm.","Fruit.length..cm.","Fruit.width..mm.","Fruit.color","Pod.shape","Pod.margin","Texture.of.pod.valves","Pod.cross.section","Pod.coil","Number.of.coils","Pod.ornamentation","Number.of.pods.per.capitulum","Dehiscence","Type.of.dehiscence","Dispersal.syndrome","Seed.length..cm.","Seed.width..cm.","Seed.accessories","Seed.color","Number.of.seeds.per.fruit","Presence.of.aril","Aril..color.","Presence.of.pulp","Color.pulp","Succulence","Length.of.extrafloral.nectaries..mm.","Width.of.extrafloral.nectaries..mm.","Diameter.of.extra.floral.nectaries..mm.","Presence.of.succulence","Nodulation","Presence.of.tendrils","Habitat.description","Fruit.type","Fruit.shape","Number.of.primary.leaflets","Stipe.length..mm.","Color.contrast","Number.of.fruits.per.inflorescence","Color.of.elaiosome","Presence.of.elaiosome","Seed.diameter..cm.","Fruit.thickness..mm.","Fruit.diameter.mm.","leaf.length.min","leaf.length.max","leaf.length.mean","rachis.length.min","rachis.length.max","rachis.length.mean","pinnae.pair.min","Vertical.height.mean","pinnae.pair.mean","pinnae.length.min","pinnae.length.max","pinnae.length.mean","leaflet.pair.min","leaflet.pair.max","leaflet.pair.mean","leaflet.length.min","leaflet.length.max","leaflet.length.mean","leaflet.width.min","leaflet.width.max","leaflet.width.mean","fruit.length.min","fruit.length.max","fruit.length.mean","fruit.width.min","fruit.width.max","fruit.width.mean","seed.length.min","seed.length.max","seed.length.mean","vertical.height.min","vertical.height.max","vertival.height.mean","Armatures"
"1436","Macrosamanea amplissima","5.0-15.0",0,0,5,"","","15.00-26.00","","1.00-1.50","",12,"4.0-7.0","","","9.0-14.0","30.00-65.00","13.00-25.00","","","","","","","",NA,"","","","12.0-26.0","55.00-70.00",3,0,0,2,NA,1,"",1,"",1,2,NA,"2.9-3.4","2.10-2.40","",NA,"10.0-16.0",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,15,26,20.5,4,7,5.5,NA,NA,NA,9,14,11.5,30,65,47.5,13,25,19,12,26,19,55,70,62.5,2.9,3.4,3.15,5,15,10,0
"1437","Macrosamanea discolor","2.0-5.0",1,0,NA,"","","70.00-155.00","","1.50-5.50","",0,"1.0-2.0","","","14.0-29.0","15.00-31.00","3.80-7.00","","","","","","","",NA,"","","","6.5-21.0","15.00-32.00",3,0,0,2,1,1,"",3,"3.0-4.0",1,NA,NA,"2.0","1.10","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,70,155,112.5,1,2,1.5,NA,NA,NA,14,29,21.5,15,31,23,3.8,7,5.4,6.5,21,13.75,15,32,23.5,2,2,2,2,5,3.5,0
"1438","Macrosamanea duckei","2.0-8.0",1,0,5,"","","90.00-210.00","","1.00-4.00","0.60-2.00",1,"1.0-4.0","","","6.0-13.0","24.00-50.00","11.00-23.00","","","","","","","",NA,"","","","5.0-11.5","28.00-40.00",3,0,NA,2,NA,1,"",3,"",1,2,NA,"2.4","1.60","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,90,210,150,1,4,2.5,NA,NA,NA,6,13,9.5,24,50,37,11,23,17,5,11.5,8.25,28,40,34,2.4,2.4,2.4,2,8,5,0
"1439","Macrosamanea kegelii","8.0",1,0,5,"","","","6.00-12.00","1.50-3.00","",1,"5.0-8.0","","","12.0-16.0","21.00-28.00","5.50-9.00","","","","","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,5,8,6.5,NA,NA,NA,12,16,14,21,28,24.5,5.5,9,7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,0
"1440","Macrosamanea prancei","1.0-10.0",1,0,2,"","","50.00-100.00","","1.00-2.00","",1,"1.0","","","3.0-4.0","60.00-75.00","25.00-40.00","","","","","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,50,100,75,1,1,1,NA,NA,NA,3,4,3.5,60,75,67.5,25,40,32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,5.5,0
"1441","Macrosamanea simabifolia","2.0-8.0",1,0,2,"","","25.00-70.00","","","",NA,"1.0","","","2.0-5.0","27.00-65.00","6.00-37.00","","","","","","","",NA,"","","","6.5-18.0","14.00-37.00",3,0,0,2,1,1,"",3,"1.0-2.0",1,NA,NA,"2.0-2.4","1.00-1.40","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,25,70,47.5,1,1,1,NA,NA,NA,2,5,3.5,27,65,46,6,37,21.5,6.5,18,12.25,14,37,25.5,2,2.4,2.2,2,8,5,0
"1442","Macrosamanea spruceana","2.0-16.0",1,0,5,"","","","","2.50-4.00","",0,"7.0-9.0","","","13.0-21.0","14.00-24.00","4.50-9.00","","","","","","","",NA,"","","","17.0-31.0","42.00-70.00",3,1,0,2,1,1,"",2,"",1,2,NA,"2.4-3.3","1.70-2.50","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,7,9,8,NA,NA,NA,13,21,17,14,24,19,4.5,9,6.75,17,31,24,42,70,56,2.4,3.3,2.85,2,16,9,0
"1443","Mariosousa sericea","3.0-15.0",1,0,5,"","","","","","",NA,"1.0-44.0","","","4.0-65.0","10.00","0.50-0.90","","","","","","","",NA,"","","","5.0-10.0","1.30-2.40",NA,0,0,0,1,1,"",3,"",1,NA,NA,"0.6-0.8","0.60-0.80","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,44,22.5,NA,NA,NA,4,65,34.5,10,10,10,0.5,0.9,0.7,5,10,7.5,1.3,2.4,1.85,0.6,0.8,0.7,3,15,9,0
"1444","Microlobius foetidus","3.0",0,0,5,"0.75-1.28","","1.20","","","",NA,"1.0","","","1.0","22.50-42.00","13.60-31.00","","","","","","","",NA,"","","","6.5-7.5","12.00-14.00",NA,0,0,5,2,1,"",3,"",1,3,NA,"","","(0)",NA,"4.0-6.0",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",0.75,1.28,1.015,1.2,1.2,1.2,1,1,1,NA,NA,NA,1,1,1,22.5,42,32.25,13.6,31,22.3,6.5,7.5,7,12,14,13,NA,NA,NA,3,3,3,0
"1445","Mimosa acantholoba","1.0-7.0",1,NA,5,"","","","","1.00-4.00","0.25-0.50",NA,"7.0-26.0","","","15.0-40.0","","","","","","","","","",NA,"","","","3.5-8.0","16.00-30.00",35,25,0,5,1,1,"",13,"1.0-3.0",1,5,28,"0.5","0.30-0.37","",NA,"4.0-8.0",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"(03)","(2)","","6.0-14.0","","","#Name?","#Name?","","0.10-0.40","",NA,NA,NA,NA,NA,NA,7,26,16.5,NA,NA,NA,15,40,27.5,NA,NA,NA,NA,NA,NA,3.5,8,5.75,16,30,23,0.5,0.5,0.5,1,7,4,1
"1446","Mimosa acantholoba var. acantholoba","1.0-7.0",1,NA,5,"","","","","1.00-4.00","0.25-0.50",NA,"7.0-26.0","","","15.0-40.0","","","","","","","","","",NA,"","","","3.5-8.0","16.00-23.00",5,5,0,5,1,1,"",1,"1.0-3.0",1,5,2,"0.5","0.30-0.37","",NA,"4.0-8.0",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"(3)","(6)","","6.0-14.0","","","#Name?","#Name?","","0.10-0.20","",NA,NA,NA,NA,NA,NA,7,26,16.5,NA,NA,NA,15,40,27.5,NA,NA,NA,NA,NA,NA,3.5,8,5.75,16,23,19.5,0.5,0.5,0.5,1,7,4,1
"1447","Mimosa acantholoba var. eurycarpa","",1,NA,5,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","","","10.00-23.00",3,5,0,5,1,1,"",1,"",1,5,2,"","","",NA,"",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"(3)","(6)","","","","","#Name?","#Name?","","0.30-0.40","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,23,16.5,NA,NA,NA,NA,NA,NA,1
"1448","Mimosa acantholoba var. liesneri","",1,NA,5,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","","","",3,0,0,5,1,1,"",1,"",1,5,2,"","","",NA,"",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"(3)","(6)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1449","Mimosa acantholoba var. molinarum","",1,NA,5,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","","","",3,0,0,5,1,1,"",3,"",1,5,8,"","","",NA,"",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"(0)","(6)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1450","Mimosa acantholoba var. platycarpa","",1,NA,5,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","","","",5,2,0,5,1,1,"",1,"",1,5,2,"","","",NA,"",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"(3)","(6)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1451","Mimosa acantholoba var. seticuspis","3.0",1,NA,NA,"","","","5.00-10.00","1.00-2.00","",2,"","20.00-40.00","","","","","","","","","5.00-6.50","2.60-4.50","",NA,"","","","6.0-7.0","10.00-11.00",3,0,0,5,1,1,"",13,"",1,5,8,"","","",NA,"8.0-9.0",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"(0)","(2)","","5.0-7.0","","","#Name?","#Name?","4.50","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,20,40,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,10,11,10.5,NA,NA,NA,3,3,3,1
"1452","Mimosa acapulcensis","3.0",1,NA,2,"","","","30.00-55.00","1.50-2.50","",NA,"1.0","","","2.0","30.00-100.00","","","","","","","","",NA,"","","","2.0-4.3","6.00-7.00",3,0,1,5,1,1,"",3,"1.0-6.0",1,56,8,"","","",NA,"2.0-5.0",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"","(24)","","5.0","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,2,2,2,30,100,65,NA,NA,NA,2,4.3,3.15,6,7,6.5,NA,NA,NA,3,3,3,1
"1453","Mimosa accedens","0.4-0.8",1,NA,NA,"","","15.00-38.00","5.00-10.00","7.00-13.00","0.60-1.20",NA,"12.0-34.0","","","12.0-38.0","2.50-5.00","0.75-1.50","","","","","","","",NA,"","","","6.0-7.0","9.00-11.00",3,0,0,5,1,1,"",1,"1.0-2.0",1,5,2,"0.5","0.35","",3,"",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","2.5-4.0","","","#Name?","#Name?","","","",NA,NA,NA,15,38,26.5,12,34,23,NA,NA,NA,12,38,25,2.5,5,3.75,0.75,1.5,1.125,6,7,6.5,9,11,10,0.5,0.5,0.5,0.4,0.8,0.6,NA
"1454","Mimosa acroconica","4.0",1,NA,NA,"","","25.00-35.00","","6.50-12.00","4.00-8.00",0,"5.0-14.0","","","17.0-28.0","5.00-7.50","1.70-2.00","","","","","","","",NA,"","","","","",3,0,0,5,1,1,"",2,"1.0-2.0",1,5,2,"","","",NA,"",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,25,35,30,5,14,9.5,NA,NA,NA,17,28,22.5,5,7.5,6.25,1.7,2,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,1
"1455","Mimosa aculeaticarpa","0.5-5.0",1,NA,NA,"","","4.00-30.00","","1.00-5.00","",NA,"8.0-18.0","","","","1.30-10.00","0.70-3.50","","","","","","","",NA,"","","","2.0-5.0","3.50-11.00",6,0,1,5,1,1,"",1,"1.0-10.0",1,357,8,"","","",NA,"3.0-8.0",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,4,30,17,8,18,13,NA,NA,NA,NA,NA,NA,1.3,10,5.65,0.7,3.5,2.1,2,5,3.5,3.5,11,7.25,NA,NA,NA,0.5,5,2.75,1
"1456","Mimosa aculeaticarpa var. biuncifera","",NA,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","","","",NA,0,4,NA,NA,NA,"",NA,"",1,5,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","(4)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1457","Mimosa acutistipula","",0,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,5,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"(0)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1458","Mimosa acutistipula var. acutistipula","4.0-5.0",0,NA,NA,"","","25.00-55.00","7.00-16.00","2.00-7.00","",1,"4.0-7.0","","","20.0-33.0","5.00-7.00","1.20-1.60","","","","","","","",NA,"","","","4.5-7.5","7.00-9.50",6,2,0,5,1,1,"",3,"",1,56,5,"","0.40-0.50","",3,"6.0-10.0",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"","(2)","","5.0-9.0","","","#Name?","#Name?","","","",NA,NA,NA,25,55,40,4,7,5.5,NA,NA,NA,20,33,26.5,5,7,6,1.2,1.6,1.4,4.5,7.5,6,7,9.5,8.25,NA,NA,NA,4,5,4.5,1
"1459","Mimosa acutistipula var. ferrea","3.0",1,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","","4.5-7.5","7.00-9.50",0,0,0,25,1,1,"",3,"",1,56,5,"","","",3,"6.0-10.0",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"(0)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,7.5,6,7,9.5,8.25,NA,NA,NA,3,3,3,1
"1460","Mimosa adamantina","0.6-3.0",1,NA,NA,"","","15.00-55.00","","2.00-5.00","",NA,"1.0","","","8.0-16.0","5.50-10.00","1.70-3.70","","","","","","","",NA,"","","","1.2-2.3","4.50-8.00",3,2,0,5,1,1,"",3,"",1,56,5,"0.4","0.28-0.36","",3,"",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,15,55,35,1,1,1,NA,NA,NA,8,16,12,5.5,10,7.75,1.7,3.7,2.7,1.2,2.3,1.75,4.5,8,6.25,0.4,0.4,0.4,0.6,3,1.8,0
"1461","Mimosa adamantina var. adamantina","1.5-3.0",1,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","","","",3,2,0,5,1,1,"",3,"",1,56,5,"","","",3,"",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,3,2.25,0
"1462","Mimosa adamantina var. hebecarpa","0.6-1.0",1,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","","","",0,0,0,5,1,1,"",2,"",1,56,NA,"0.4","0.28-0.30","(0)",3,"",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.6,1,0.8,0
"1463","Mimosa adenantheroides","1.0-5.0",1,NA,NA,"","","10.00-70.00","","2.00-8.00","",NA,"","","","","6.50-15.00","3.00-6.00","","","","","","","",NA,"","","","4.0-6.0","6.00-9.00",NA,0,1,5,1,1,"",1,"10.0",1,56,NA,"","","",NA,"5.0-8.0",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"(3)","(6)","","","","","#Name?","#Name?","","","",NA,NA,NA,10,70,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,15,10.75,3,6,4.5,4,6,5,6,9,7.5,NA,NA,NA,1,5,3,1
"1464","Mimosa adenocarpa","2.0-2.5",1,NA,NA,"","","","8.00-23.00","6.00-9.00","",NA,"14.0-22.0","15.00-40.00","","32.0-56.0","","","","","","","","","",NA,"","","","10.0-15.0","2.50-3.00",3,2,3,5,1,1,"",2,"6.0-10.0",1,5,2,"","","",NA,"",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,14,22,18,15,40,27.5,32,56,44,NA,NA,NA,NA,NA,NA,10,15,12.5,2.5,3,2.75,NA,NA,NA,2,2.5,2.25,1
"1465","Mimosa adenotricha","2.0",1,NA,NA,"","","","5.00-8.00","4.00-6.50","0.70-1.00",NA,"6.0-16.0","","","16.0-25.0","","","","","","","","","",NA,"","","","2.4-3.6","10.00-13.00",NA,5,0,5,1,1,"",3,"1.0-3.0",1,59,NA,"0.5","0.40","",NA,"",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"(03)","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,6,16,11,NA,NA,NA,16,25,20.5,NA,NA,NA,NA,NA,NA,2.4,3.6,3,10,13,11.5,0.5,0.5,0.5,2,2,2,1
"1466","Mimosa adpressa","0.4-1.5",1,NA,NA,"","","14.00-32.00","","1.50-7.50","0.70-1.50",NA,"1.0","","","15.0-32.0","2.70-6.50","0.60-12.00","","","","","","","",NA,"","","","1.3-2.8","4.00-5.50",NA,0,3,5,1,1,"",3,"",1,57,NA,"","","",NA,"2.0-6.0",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"(0)","","","","","","#Name?","#Name?","","","",NA,NA,NA,14,32,23,1,1,1,NA,NA,NA,15,32,23.5,2.7,6.5,4.6,0.6,12,6.3,1.3,2.8,2.05,4,5.5,4.75,NA,NA,NA,0.4,1.5,0.95,1
"1467","Mimosa affinis","0",3,NA,NA,"","","","","","",NA,"","","","","8.00-12.00","2.00-4.00","","","","","","","",NA,"","","","1.0-1.6","4.50-5.00",3,0,3,5,1,1,"",1,"10.0",1,5,NA,"","","",NA,"",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,12,10,2,4,3,1,1.6,1.3,4.5,5,4.75,NA,NA,NA,0,0,0,1
"1468","Mimosa aguapeia","0.1",1,NA,NA,"","","70.00-120.00","15.00-40.00","","",NA,"3.0-6.0","","","17.0-22.0","14.00-19.00","5.00-6.50","","","","","","","",NA,"","","","3.5-5.0","6.00",3,0,3,5,1,1,"",2,"2.0-10.0",1,56,NA,"0.5-3.5","","",3,"5.0-8.0",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"(4)","(4)","","","","","#Name?","#Name?","","","",NA,NA,NA,70,120,95,3,6,4.5,NA,NA,NA,17,22,19.5,14,19,16.5,5,6.5,5.75,3.5,5,4.25,6,6,6,0.5,3.5,2,0.1,0.1,0.1,0
"1469","Mimosa albida","0.5-4.0",137,NA,NA,"","","","","","",NA,"","","","","25.00-95.00","11.00-37.00","","","","","","","",NA,"","","","0.6-4.3","4.00-8.00",3,0,1,5,1,1,"",2,"10.0",1,5,NA,"","","",NA,"1.0-6.0",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"(4)","(4)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,95,60,11,37,24,0.6,4.3,2.45,4,8,6,NA,NA,NA,0.5,4,2.25,1
"1470","Mimosa albida var. albida","0.5-4.0",NA,NA,NA,"","","","","2.00-8.00","",NA,"","","","","25.00-95.00","11.00-37.00","","","","","","","",NA,"","","","0.8-4.3","4.00-8.00",3,0,1,5,1,1,"",2,"10.0",NA,5,NA,"","","",NA,"1.0-6.0",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,95,60,11,37,24,0.8,4.3,2.55,4,8,6,NA,NA,NA,0.5,4,2.25,NA
"1471","Mimosa albida var. glabrior","",NA,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","","","",NA,0,NA,NA,NA,NA,"",2,"",NA,5,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1472","Mimosa albida var. willdenowii","",NA,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","","0.6-0.8","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,5,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.8,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1473","Mimosa albolanata","0.1-1.0",1,NA,NA,"","","30.00-90.00","","5.00-19.00","1.50-6.00",2,"9.0-32.0","","","18.0-55.0","2.80-9.00","0.80-1.80","","","","","","","",NA,"","","","2.5-5.0","9.00-15.00",NA,5,0,5,NA,NA,"",NA,"1.0-8.0",1,5,NA,"0.4-0.5","0.30-0.40","",3,"5.0-11.0",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,30,90,60,9,32,20.5,NA,NA,NA,18,55,36.5,2.8,9,5.9,0.8,1.8,1.3,2.5,5,3.75,9,15,12,0.4,0.5,0.45,0.1,1,0.55,0
"1474","Mimosa albolanata var. albolanata","0.1-1.0",1,NA,NA,"","","30.00-90.00","","5.00-19.00","1.50-6.00",2,"9.0-32.0","","","18.0-55.0","2.80-9.00","0.80-1.80","","","","","","","",NA,"","","","2.5-5.0","9.00-15.00",NA,5,0,5,NA,NA,"",NA,"1.0-8.0",1,5,NA,"0.4-0.5","0.30-0.40","",3,"5.0-11.0",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,30,90,60,9,32,20.5,NA,NA,NA,18,55,36.5,2.8,9,5.9,0.8,1.8,1.3,2.5,5,3.75,9,15,12,0.4,0.5,0.45,0.1,1,0.55,0
"1475","Mimosa albolanata var. brasiliana","",NA,NA,NA,"","","","","","",NA,"","","","30.0-44.0","3.00-5.00","0.60-1.20","","","","","","","",NA,"","","","","",NA,5,0,5,1,1,"",2,"",1,5,NA,"","","",NA,"",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,44,37,3,5,4,0.6,1.2,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1476","Mimosa albolanata var. paucipinna","",NA,NA,NA,"","","","","","",NA,"","","","","4.50-9.00","1.00-2.00","","","","","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,5,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,9,6.75,1,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1477","Mimosa alleniana","0.1-0.6",1,NA,NA,"","","20.00-75.00","5.00-18.00","2.50-7.00","0.50-1.30",2,"1.0","","","15.0-29.0","","","0.40-1.60","","","","4.00-8.50","1.20-2.50","",NA,"","","","1.0-1.7","3.00-3.50",2,0,3,5,1,1,"",2,"2.0-10.0",1,5,NA,"2.5-2.0","","",3,"3.0-5.0",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,20,75,47.5,1,1,1,NA,NA,NA,15,29,22,NA,NA,NA,NA,NA,NA,1,1.7,1.35,3,3.5,3.25,2.5,2,2.25,0.1,0.6,0.35,0
"1478","Mimosa altoparanensis","2.0",NA,NA,NA,"","","20.00-45.00","2.50-3.50","","",NA,"4.0-7.0","","","30.0","","","","","","","","","",NA,"","","","1.0-1.2","3.50-4.50",NA,5,NA,NA,NA,NA,"",NA,"",1,5,NA,"","","",NA,"2.0-3.0",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,20,45,32.5,4,7,5.5,NA,NA,NA,30,30,30,NA,NA,NA,NA,NA,NA,1,1.2,1.1,3.5,4.5,4,NA,NA,NA,2,2,2,1
